step,mae_chronos,rmse_chronos
1,1782.63103639032,2405.415215226176
2,2346.59487403531,3379.1452057029956
3,3049.810675459375,4261.226957403183
4,3641.9842794098718,4955.509984643775
5,4067.7430142803655,5380.952550400254
6,4301.405629350763,5573.3303689919285
7,4395.413894767187,5652.830817171898
8,4471.522988730088,5677.597110173196
9,4398.696295237278,5549.067514683064
10,4261.103099653714,5318.28269378285
11,4068.7470976624027,5099.660533457378
12,4016.131141618981,5075.911263455992
13,3996.9482666036647,5055.743417883963
14,3989.5384588375073,5077.91920103142
15,4070.8179894667865,5106.750768184147
16,4164.638906002116,5131.713174792817
17,4372.973687672905,5398.650617010765
18,4322.378650452952,5274.124257195779
19,4102.307958642515,5093.066733156748
20,4020.9779238915985,5132.9536989421895
21,3794.690614174227,4947.593195947543
22,3533.9700247653955,4673.428448305694
23,3384.0807931823724,4545.4670315961885
24,3490.7382578692313,4633.258047433933
25,3526.5845249312993,4672.898352258644
26,3791.757090866628,4870.834061715574
27,4003.078954773155,5097.627930964113
28,4254.935482697275,5352.130002339808
29,4505.060211572638,5646.167552747179
30,4707.851216015913,5791.6594562305845
31,4898.219715928367,5957.272471406098
32,5092.390585692514,6139.871097673865
33,5306.556042792578,6453.291026758168
34,5311.676339129574,6401.846955387049
35,5098.074169106655,6178.2150254437065
36,5087.550742696774,6185.649121826719
37,5078.368256993531,6149.295862683721
38,5066.6334082865615,6140.8047912908405
39,4897.062514706336,6055.293726908301
40,4727.108087021367,5969.420593402242
41,4705.989586922217,5904.300166140157
42,4632.645742196999,5898.283840469102
43,4493.184505309039,5964.42566050415
44,4672.041821762552,6580.944062499364
45,5050.94419917972,7336.2384813996105
46,5377.886759626862,7821.692229801602
47,5458.287501828215,7852.101695885329
48,5749.362160462079,8091.471532773347
49,6063.241449279734,8473.480465654045
50,6153.742027892839,8551.298180238446
51,6119.5879657313335,8350.131803890396
52,6264.943200361542,8411.309297980428
53,6451.358491676217,8616.507790770822
54,6584.824954121562,8709.293444244637
55,6571.71680835369,8711.299749414797
56,6626.95404580724,8928.848442276076
57,6837.219695122608,9107.613416943472
58,7132.253042002532,9488.153889676749
59,7293.356797390689,9526.652451786631
60,7415.609745463744,9632.27387791189
61,7549.324977180782,9685.978061471198
62,7722.015127818765,9843.036272880523
63,7733.751949138638,9616.996782621754
64,7826.15026702767,9612.190638337283
65,7699.830355622602,9553.692514178312
66,7704.949982601927,9625.821066529568
67,7635.771287832025,9592.424166864204
68,7781.059777346041,9809.112556850821
69,8038.229986877623,10038.058622901695
70,8065.431194605446,10037.153442382667
71,8014.1325566064925,10034.353451185274
72,7984.307726915466,10029.214791628528
73,8001.116157896943,10106.807425529376
74,7916.038326862674,10011.181026471368
75,7581.072285052972,9732.594316458471
76,7419.519227676108,9763.721086175043
77,7413.558809630306,9849.56380216272
78,7390.550786221609,9766.022579703655
79,7308.482819974055,9616.200322108241
80,7382.6557727785275,9587.049499019997
81,7734.154263191726,10173.690338446713
82,7942.209331660771,10340.993915632118
83,7989.254818989494,10341.781384187543
84,8303.88951714901,10681.832962490977
85,8746.786904052764,11148.135653681797
86,9013.63125799047,11438.863734274013
87,9000.28159337767,11468.948956212864
88,9208.721494836558,11698.628160280983
89,9334.300812278136,11840.036992914129
90,9583.583435528437,12077.424365559194
91,9607.79372878206,12160.888708991977
92,9574.593320904989,12191.480183156918
93,9667.42605570369,12271.58537028718
94,9660.917962695854,12229.854066124004
95,9631.539284616825,12166.604403276971
96,9642.645485384133,12028.902877285813
