step,mae_chronos,rmse_chronos
1,3428.4393874230955,4653.210789761047
2,6289.783415713389,8831.460661943116
3,8322.712362961409,12228.8339155493
4,9819.011537534157,14731.212974992326
5,10901.088718682673,16323.27285178272
6,11567.401920070459,17308.061545432513
7,12064.151047825451,17843.75746190383
8,12611.734142647341,18117.300331885745
9,12860.424779810723,18338.2410720751
10,13142.890524858809,18409.641804095932
11,13748.006664096725,18693.04465396294
12,14052.62430392009,18661.513009698363
13,14086.893940505182,18392.021574025104
14,14077.29321774766,18287.0265104098
15,14236.035290148877,18260.360917734684
16,14108.47042086056,17859.73412720778
17,13936.350204550205,17714.517979193657
18,13960.167567819604,17926.56293477904
19,14192.620674935786,18281.04236062132
20,14596.49799552521,18570.151539524475
21,14768.073759403145,18959.142334796306
22,14993.950627647067,19408.158100987668
23,15523.574758117906,19964.972785250335
24,15965.480380891557,20545.59512689526
25,16372.012700962887,21130.016018327962
26,16386.993658719217,21221.456675547215
27,16643.16888500386,21206.4471492663
28,16746.282936661282,21130.36662996852
29,16757.253874723505,21091.7496891098
30,16865.822556802017,21123.45284124212
31,17251.526626017196,21342.90013680227
32,17684.291190875403,21654.609526281543
33,17786.88390645039,21787.98559884552
34,17933.890131692504,21928.53731099523
35,18455.326531983625,22596.432608770898
36,18940.264472268485,23361.560221796237
37,19298.13895698391,24045.093211689382
38,19943.62116627527,24927.442214190603
39,20701.94184861369,25787.932633502292
40,20712.24891589582,25866.7664745208
41,20507.986217590846,25618.87870545763
42,20736.48968368829,25734.850428625366
43,21095.458793393595,25949.031903681436
44,21384.837844419315,26203.45150592346
45,21491.545084188132,26345.296617726584
46,21924.97914545371,26749.46628272179
47,22378.173016460452,26927.826278231652
48,22622.066626333446,26990.3427210549
49,22574.512750542403,26739.480823886886
50,22711.198060393486,26556.475536353024
51,23015.447399454206,26533.894852090118
52,23550.64006898456,26873.59156820482
53,24574.28736848588,27695.580682584674
54,25277.01799037488,28193.278529089068
55,25837.30873935957,28721.82082404412
56,26330.010242014992,29382.552075196923
57,26229.842059624076,29510.85251299989
58,26363.097921458524,29737.470310655488
59,26378.324805009026,29742.314060118304
60,26494.07992677041,29843.484628822505
61,26262.492699113805,29533.34492101561
62,26209.09173081321,29433.321954111554
63,26131.910394927654,29282.02602563356
64,26172.59243014408,29182.940218893564
65,26482.37672854497,29931.71058351474
66,26500.17935868387,30181.489980942155
67,26495.563067197425,30353.317868389586
68,26665.61176932046,30496.472726497548
69,26760.143919095382,30687.95219423433
70,26959.154577606798,30825.02216301263
71,27169.937536987436,30956.415991991325
72,27341.280972495042,31053.96890365323
73,27415.07665732547,31023.293050508484
74,27622.985711069643,31206.241376455484
75,28401.667281302132,32158.421130776078
76,29228.07837833222,33357.29907796648
77,29940.162414531023,34714.21844365412
78,30480.063247883845,35551.385003062955
79,30952.017155678768,36128.82873911767
80,31066.120544344696,36304.224237532755
81,31130.720872286613,36384.26710651203
82,31194.33980925991,36446.327121695336
83,31366.448392829036,36492.63518561281
84,31349.72505598369,36374.11381763514
85,31574.466303878493,36447.65279962993
86,31899.95687519026,36697.0672557413
87,32075.727161378476,36959.53662926029
88,32190.07901328853,37032.19753863278
89,32176.544984342952,37062.51755777168
90,32308.47187440346,37158.63733823185
91,32171.07320644242,37098.0175326808
92,32017.38859214369,37011.304611544634
93,31924.214997143,37073.642470735496
94,31801.959343725517,37013.81663650859
95,31438.1883977633,36735.310177453
96,31086.90614894704,36483.92897736101
