item_id,start_time,target_1,target_2,target_3,target_4,target_5,target_6,target_7,target_8,target_9,target_10,target_11,target_12,target_13,target_14,target_15,target_16,target_17,target_18,target_19,target_20,target_21,target_22,target_23,target_24,target_25,target_26,target_27,target_28,target_29,target_30,target_31,target_32,target_33,target_34,target_35,target_36,target_37,target_38,target_39,target_40,target_41,target_42,target_43,target_44,target_45,target_46,target_47,target_48,target_49,target_50,target_51,target_52,target_53,target_54,target_55,target_56,target_57,target_58,target_59,target_60,target_61,target_62,target_63,target_64,target_65,target_66,target_67,target_68,target_69,target_70,target_71,target_72,target_73,target_74,target_75,target_76,target_77,target_78,target_79,target_80,target_81,target_82,target_83,target_84,target_85,target_86,target_87,target_88,target_89,target_90,target_91,target_92,target_93,target_94,target_95,target_96
0,2025-01-01 02:30:00+00:00,117277.77,120099.95,121857.61,121583.75,119446.016,117257.09,116365.195,117332.01,119119.766,120592.16,123540.56,124502.984,124422.41,125449.08,125495.1,121968.07,120443.914,118085.61,116902.96,116623.92,117457.734,119044.75,119241.2,115614.51,110760.984,107264.22,102276.48,96860.25,91303.98,86137.23,82658.8,83025.27,84923.1,86858.31,89396.95,90337.78,89560.18,88385.35,87488.47,85836.55,84476.16,82872.375,81956.85,81390.11,80745.45,80596.664,81076.33,82500.164,84125.055,86793.016,88583.086,89619.42,89483.086,88439.09,86811.72,86111.55,85451.19,84458.85,82672.22,79886.11,75260.086,72300.2,71627.07,72894.01,74325.93,76653.19,79128.83,81832.87,83829.07,86001.62,87714.22,88814.83,88847.555,88580.75,87925.875,85656.55,81863.44,78632.83,76875.56,77995.42,80732.586,84355.32,87033.07,88244.77,88124.445,88069.42,88211.43,87935.12,87597.38,87489.61,86768.17,85759.09,84137.5,82812.36,82133.34,82897.94
0,2025-01-01 02:45:00+00:00,122926.34,123376.56,122362.36,120401.7,117952.086,116583.69,117556.03,119479.16,120894.41,121763.82,125169.67,126971.2,127714.77,126814.74,125227.16,122181.5,119845.98,118540.92,119201.83,120073.19,120174.49,119279.93,116997.89,112047.36,107029.836,102491.914,96822.26,91162.83,86255.664,82931.83,82620.5,85039.49,87350.46,88761.87,90474.93,89998.06,88544.84,87309.61,87124.53,85786.57,83860.586,82069.336,81336.59,80794.08,80518.13,81193.77,83102.97,85510.125,87445.88,88858.66,89091.71,89062.55,88515.59,87383.945,86357.03,85686.31,84347.46,82324.055,79387.73,75439.14,71396.0,70511.36,72413.34,74844.984,76975.68,78758.81,81356.27,83674.945,85596.11,87194.516,88285.74,88893.23,88644.74,87042.02,85135.516,81995.31,78844.19,77135.91,78058.05,80635.72,83594.71,86348.95,88137.64,88441.734,88251.516,88079.95,88586.09,88251.11,87389.7,86329.26,85345.984,83884.414,82735.48,82279.42,82858.734,84766.5
0,2025-01-01 03:00:00+00:00,125550.09,123096.29,119727.77,116862.44,115692.69,116403.87,117712.4,118850.27,119913.53,121475.664,125959.81,129249.58,129190.914,126463.984,124665.83,122069.266,119917.5,119742.016,120713.375,120840.984,118294.125,115122.195,111570.44,106615.766,100884.52,95537.625,89938.39,84834.14,81778.31,81570.67,83162.33,85925.42,87979.4,88976.63,89536.49,88766.555,87621.77,87013.49,86990.33,85062.61,82769.695,81213.67,80013.46,79199.664,79421.266,81204.2,83676.555,86295.59,87504.07,87714.9,86991.14,86341.53,86133.41,86108.16,85057.07,83679.734,81261.28,78397.11,74698.42,71111.24,68896.336,70453.69,73862.1,76103.5,77235.72,79271.0,81727.39,83852.09,85228.93,86247.03,86886.125,86785.73,85169.42,82530.914,80304.59,77723.52,76287.28,77272.02,79578.984,82245.66,84392.91,86211.74,87285.87,87550.37,87575.02,87732.28,88183.95,87397.15,85826.47,84203.53,82628.41,81205.21,80718.83,81475.59,83213.97,85443.5
0,2025-01-01 03:15:00+00:00,126083.695,121454.95,117044.5,114529.945,115071.55,116079.18,117204.336,118920.125,121228.164,123794.21,130504.66,131048.164,126801.2,123816.67,122041.37,119589.734,118812.914,119481.61,120036.164,119209.66,115126.36,110595.59,106449.33,101120.88,95144.76,89416.66,84104.13,80266.625,79933.45,81402.164,83677.66,86704.2,88747.77,88208.55,87372.22,86356.45,85926.266,85209.2,85065.34,83033.2,81106.555,79115.65,77971.26,78277.94,80006.06,82579.84,85210.67,87492.09,87917.23,87014.93,85394.22,84406.52,85179.61,85006.43,83188.24,81298.56,78280.766,74145.22,70749.94,69173.87,69451.53,72048.16,76163.234,78502.33,79202.34,80925.11,83007.8,84968.055,86106.766,86793.695,86960.164,85985.984,83366.234,79864.445,77406.25,76045.586,77013.75,79782.125,82948.055,85743.47,87299.39,88157.305,88752.0,89091.45,89369.266,89305.03,89188.625,87729.88,85970.1,83690.74,82058.29,81430.05,82258.31,84205.62,86675.91,88796.21
0,2025-01-01 03:30:00+00:00,127080.36,121706.35,117830.41,117037.56,117518.57,118397.18,119839.89,122213.5,124177.73,127433.3,129215.92,126078.25,122805.164,121101.33,120597.516,120783.23,120851.36,120886.86,120041.12,118077.63,113506.195,108927.164,104505.016,99105.86,92739.52,87255.06,83366.94,82781.08,83969.15,85853.47,87938.78,90415.09,90776.59,89823.15,88960.74,88228.47,87887.555,87062.18,86519.75,85382.49,83643.086,82426.47,82603.71,84571.51,87235.56,90365.305,92375.14,93420.71,92525.05,91106.586,89534.195,89582.64,89731.94,88639.48,86280.44,84011.48,80376.8,76563.45,75277.42,76949.56,79638.54,83192.86,86739.51,89753.2,91411.35,92876.2,94587.836,95964.92,96370.58,96156.67,95023.08,92774.22,88958.14,85324.47,84246.36,85706.195,88560.164,92132.164,95194.125,96973.02,97810.234,98281.945,98676.22,99170.45,99274.086,98540.766,97636.16,95993.48,93687.625,91623.18,91091.64,91855.914,93505.195,95790.03,98023.45,99640.15
0,2025-01-01 03:45:00+00:00,129646.39,125545.43,123860.27,123427.664,123463.53,124057.21,125467.16,127136.72,127474.04,127343.53,126066.3,124359.34,122787.11,122350.83,123323.5,123906.05,124194.76,122806.16,120862.74,117442.31,112268.0,106842.42,101574.85,95238.27,88973.36,85217.59,84403.11,85409.08,86686.73,88093.83,89764.83,91245.68,90891.66,90115.13,89813.92,89013.52,87764.19,86752.05,86593.52,85099.05,83691.94,83391.37,85319.03,87985.41,90689.695,93481.26,95201.64,95203.195,93462.58,91917.62,91138.84,90700.16,89708.3,87546.45,84444.54,81085.49,77614.03,76009.5,77854.945,81393.33,84725.1,88388.29,92091.53,94364.945,97036.3,98088.92,99099.1,99572.15,99160.76,97628.016,95192.47,91810.04,87849.52,85869.87,87931.164,91527.766,95117.98,98250.86,100490.32,101207.79,101515.836,101876.98,102578.76,102855.516,102132.6,100562.34,99343.28,97125.93,95176.195,94363.164,95321.33,96887.55,98881.39,100763.96,102582.86,103435.49
0,2025-01-01 04:00:00+00:00,134867.5,132140.19,130237.234,128950.62,128396.84,128317.57,127483.33,126175.625,123987.53,123434.55,123970.99,124025.266,123922.65,124671.63,125611.086,125732.87,125289.53,122127.48,118893.22,114432.836,108533.164,102664.164,97055.33,91638.336,87856.78,87186.23,87632.87,88464.6,89244.945,90137.69,90540.62,91004.234,90274.44,90385.04,90697.36,89645.66,88051.95,87190.766,86971.53,85545.89,84946.63,85672.79,88183.67,90590.586,92302.39,94658.33,96041.52,95761.15,94243.63,93338.68,92153.84,90741.195,88781.05,85783.19,81549.875,78121.664,76295.83,78084.14,82083.47,86120.71,89244.125,92600.79,95397.055,96801.59,98822.664,99382.94,99494.9,99068.79,97661.19,95250.34,91729.96,88467.16,86604.43,88034.63,91899.664,95789.16,98483.375,100392.805,101754.44,102091.664,102246.625,103021.34,103738.3,103340.8,101664.34,99848.68,98026.42,95741.87,94779.195,95809.06,98125.61,100425.76,102365.41,103803.33,104468.56,104381.42
0,2025-01-01 04:15:00+00:00,137806.7,134837.55,132244.94,130606.3,129586.9,128170.39,125835.22,123529.93,122046.14,121804.66,122250.75,122766.3,123851.766,125258.39,126407.516,126532.41,125334.44,120862.09,116582.766,110792.664,104182.35,97588.01,92222.07,89172.734,88548.53,89234.34,89813.125,90714.75,91132.02,90634.05,89699.625,89526.95,89685.59,90079.29,89781.59,88238.625,87072.65,86414.25,86675.24,86217.266,86563.195,87424.555,89591.82,91553.484,93538.555,95795.555,96595.65,96326.51,95167.65,93416.555,91076.195,88867.43,86308.66,82657.58,79049.78,77423.28,78771.87,82338.05,86098.18,89670.52,93027.59,95861.25,97924.56,98909.45,99513.52,99902.38,99609.01,98250.02,95806.55,92120.45,88245.87,86778.84,88477.305,91873.41,96087.66,99443.88,101342.055,102412.09,103400.1,103461.5,103545.47,103739.08,103465.266,101944.74,99854.83,97098.09,94813.89,93854.49,95549.96,98554.26,101972.84,104423.77,106040.01,106251.75,105634.01,105188.8
0,2025-01-01 04:30:00+00:00,124925.13,124593.46,124586.75,125532.31,126256.05,126679.8,126764.375,125191.02,123556.94,122107.41,121677.83,122307.0,122644.7,122960.61,122796.5,121923.734,119159.484,115363.09,110673.4,104463.06,97316.97,91071.766,87375.805,86847.96,87966.81,89285.305,90082.6,91148.91,91254.96,90419.88,89180.75,88783.414,88396.234,87769.39,86897.34,86275.56,86005.64,86316.31,87445.375,88519.4,89565.18,90691.055,92519.82,94670.484,95865.06,97054.836,97120.58,96562.87,94541.83,91910.41,88798.54,85960.12,82785.016,79819.766,78579.836,80606.8,84771.36,89322.11,92454.76,95639.62,98138.75,100092.48,101151.945,101731.664,103393.12,103248.055,101930.36,99288.92,95736.625,91994.94,90106.13,91798.02,95554.375,99194.12,102623.09,104747.98,105676.83,106158.72,106767.92,106733.63,106580.44,105854.3,104634.46,102322.62,99740.164,96779.95,96243.625,97748.74,100963.99,103944.125,106499.06,107663.0,108082.0,107327.32,106515.64,106639.59
0,2025-01-01 04:45:00+00:00,117327.53,118149.72,119535.05,121310.89,122381.734,123083.41,122758.914,121438.01,119790.85,118807.914,119541.305,120845.59,120387.71,119581.72,118469.42,116516.99,112718.14,108453.67,103313.56,97148.62,90971.55,87290.03,86840.81,87899.06,88987.32,89836.8,90512.6,91035.11,90476.78,89487.445,88283.695,87731.93,86718.875,86097.97,86083.64,86329.04,86352.98,87064.56,88984.7,90959.43,92534.34,93978.78,95525.836,96859.25,96663.4,97031.96,97177.94,96267.95,93678.78,90724.375,87264.88,83324.086,80174.91,79247.07,81411.016,86378.03,91581.48,96245.875,98974.3,101337.58,102581.96,103752.16,104598.516,104824.01,107387.28,106371.836,103705.016,99958.56,96018.664,94255.72,95654.88,99757.195,103403.41,106203.734,108534.914,110056.89,110328.36,110235.055,110119.63,109536.305,108299.53,106762.88,104911.88,102178.83,99283.586,98420.87,100053.414,102787.945,106120.234,108339.67,109404.86,109384.05,108857.55,108272.17,108125.414,108711.11
0,2025-01-01 05:00:00+00:00,111312.14,113207.73,114876.4,116260.47,116708.09,117414.98,117578.984,117227.805,116429.63,116791.875,117866.08,118559.23,117026.914,115350.484,113010.375,109856.09,104925.07,99794.695,94244.67,89040.266,85365.14,84813.91,86004.89,87172.81,87815.84,88399.984,88544.03,88401.86,87302.766,86370.08,85274.086,84387.65,83184.08,83050.06,83398.09,83967.336,84477.84,86189.69,88671.91,90947.41,92321.12,93552.375,94458.55,95180.93,94333.29,94349.56,93743.38,92010.17,88582.234,84679.61,80312.41,76403.7,75276.61,77929.93,83380.49,89772.35,95198.68,98852.26,100271.2,101398.7,101699.695,102503.39,102746.62,102311.03,103492.56,101014.31,97126.22,93453.836,91705.48,93055.18,96361.35,100532.78,103202.12,104965.66,106568.64,107859.68,107780.03,107395.21,106778.02,105511.21,103452.8,101380.33,98927.71,96496.9,95149.125,96276.836,99079.836,101860.625,104437.53,105508.625,105579.03,105080.8,104757.15,104969.37,104947.74,104821.07
0,2025-01-01 05:15:00+00:00,103854.875,105364.734,106669.08,107769.01,109115.59,110615.5,111854.836,112953.14,113255.48,113783.3,114390.586,114104.66,111667.0,108839.96,105368.84,100888.195,95289.17,89716.01,84903.69,81686.46,80510.25,81142.28,82873.53,84046.63,84596.63,84524.77,84129.14,83416.93,82367.09,80921.72,79618.336,78763.57,78071.65,78269.74,79026.07,80095.92,81606.91,84182.52,87246.766,89329.5,90299.22,90757.56,91119.78,91633.734,90818.59,90237.83,89049.69,86623.94,82379.81,77201.63,73777.875,72718.73,74977.016,79878.72,87537.33,92060.87,95691.87,98622.01,99414.83,99772.34,99986.805,100405.19,99937.51,98419.375,96635.305,93220.34,89500.64,87736.03,89472.3,92654.055,96337.85,99637.12,101300.586,102026.09,103317.08,104317.41,104011.92,103119.81,102118.16,100337.42,97921.12,95252.234,93038.26,91950.99,92836.664,95314.836,98627.33,100804.914,102597.305,102525.766,101693.57,100878.51,101226.945,101330.91,100775.83,99372.13
0,2025-01-01 05:30:00+00:00,96175.17,94904.586,93735.32,94299.38,96604.13,99421.97,101897.43,104310.8,105878.22,107344.38,107975.25,107464.41,105143.98,102638.055,98592.13,93463.22,88436.984,84395.9,81770.14,81322.34,81651.44,82700.914,83942.45,84780.77,84876.68,84180.61,82763.92,81894.305,81074.8,79894.85,78479.97,78480.17,78192.05,79088.195,80260.09,82000.43,84278.25,87423.805,90031.9,91522.984,92365.58,92736.766,92738.6,93179.7,92216.375,91165.83,89171.32,86556.95,82888.375,79591.2,78307.42,80383.92,85882.18,91771.945,96166.484,100122.63,102226.336,104307.43,104684.89,104750.94,104426.22,103599.13,100632.95,96817.805,94799.85,92236.32,90203.33,90883.59,94140.555,97845.11,100742.72,102728.89,103736.97,104374.195,104864.53,105119.58,104348.195,103253.98,101560.78,99408.15,96725.266,94909.836,93944.4,94601.46,96457.72,98757.86,100781.23,101624.57,102139.72,101529.125,100516.24,100132.13,100224.71,99652.75,97732.71,94921.625
0,2025-01-01 05:45:00+00:00,86157.76,84744.26,84951.695,86751.55,89707.16,92753.78,95675.63,98212.75,99401.03,99762.14,99623.16,98893.375,96875.02,94080.36,89667.1,84418.18,81059.53,79281.42,79016.96,80203.93,81454.9,82420.69,83343.516,83516.125,82886.17,81536.79,80333.13,79491.04,78577.45,77255.266,76181.47,76424.484,76444.33,77599.0,79731.68,82751.59,86033.125,88793.11,90452.1,90712.516,91100.12,91233.87,91097.805,91267.38,90094.59,88298.7,85587.5,82841.24,80392.555,79228.29,80888.99,84988.8,90408.19,94337.24,97476.79,100668.055,102305.82,103567.0,103546.63,103369.31,102535.2,100002.27,95202.625,90224.84,87394.766,86218.82,86779.3,89344.34,93314.266,96539.22,98492.33,99539.25,100327.65,100434.81,100578.336,100391.89,99094.3,97353.94,95312.2,92666.66,90682.74,90160.92,90764.125,92598.78,95204.9,97170.87,98518.984,98433.33,98163.13,97216.016,96699.195,96528.86,96429.66,94865.46,91848.03,88417.68
0,2025-01-01 06:00:00+00:00,77498.35,78939.65,81976.695,85271.65,88629.04,91886.88,94255.51,95999.06,94796.71,93624.09,93081.06,92102.95,88969.68,84915.41,79696.47,74525.984,72708.91,73390.875,74957.62,76635.055,77738.3,78913.67,79558.67,78388.375,76718.81,75900.5,75064.13,73721.15,72322.8,71040.1,69888.08,69843.51,69400.07,70733.875,73379.484,76715.695,79344.69,81349.72,82640.22,82567.03,82625.875,82908.51,82410.66,81350.45,78542.41,76296.09,73436.19,70583.7,69115.92,70465.33,73534.7,77548.055,82418.734,85609.086,88609.195,91234.64,92227.33,93278.39,93350.46,92990.55,90415.86,85753.125,79230.96,73551.04,69195.67,71051.2,74210.41,77790.81,81077.03,82986.46,83808.52,83954.47,84367.39,84408.33,85015.71,84710.266,82488.88,80207.234,77410.09,74502.875,73367.28,75036.51,77737.87,80478.98,83240.17,85550.06,87057.51,86442.99,85992.25,85866.805,85529.234,84627.37,83215.914,80253.02,76715.23,73737.305
0,2025-01-01 06:15:00+00:00,75990.32,78624.44,81708.62,84507.67,87871.06,91260.35,93940.15,95966.42,93602.71,91808.625,91331.8,89118.96,84136.38,78529.02,73396.72,69597.98,69995.39,72421.27,74976.555,76229.51,76390.33,76653.7,76510.84,74104.266,72457.11,71827.34,70669.35,68609.72,67296.63,66262.86,65765.516,66102.75,66135.586,68695.89,72385.89,74995.8,76519.55,77684.89,78824.3,78546.17,78151.06,77792.234,76651.45,74111.53,69694.41,66619.94,64183.254,62002.66,62714.03,66205.58,70787.05,74691.04,78917.35,81477.12,84425.62,86218.266,86489.56,87367.8,87428.23,85514.33,80983.555,75530.55,69955.48,65691.85,64695.62,67952.88,71470.14,74101.945,75803.055,76702.29,77054.266,76794.04,77322.31,77457.48,77852.26,76805.8,74256.49,71993.19,69998.34,68632.98,69173.3,72583.83,76328.1,78742.67,81002.31,82897.86,83939.586,82659.38,82324.64,82038.33,81130.445,79001.28,76492.875,73443.92,70527.0,68152.02
