step,mae_chronos,rmse_chronos
1,4544.6230861988515,6431.386207160561
2,6297.539271274212,9274.552393018483
3,9014.795309962667,12961.964713309257
4,11415.954797677825,15924.35030169556
5,12844.4466342816,17400.23342221671
6,13762.991459917848,17977.834589224523
7,14268.638829434778,18042.21301190273
8,14005.334108335304,17825.90564422662
9,13627.524952134127,17796.155338117846
10,13425.17893136721,17961.512060286423
11,13459.786960090743,18398.515688054315
12,13791.458317472485,18745.486689720234
13,14153.292825742115,18723.85891830815
14,14506.060405242199,18703.627997146614
15,14649.72956921254,18689.338556134688
16,14847.677771947281,18773.604309450013
17,14808.312622007808,18658.240964153156
18,14332.124364327912,18358.642305647674
19,13788.892997487223,18142.817876562258
20,13581.473473686798,18462.17868099271
21,13709.966430547445,18480.0239891013
22,13830.356522722364,18459.52009402708
23,13882.308697448001,18254.25901523439
24,14064.108357025581,18311.823170800053
25,13937.492258770151,18044.284014555407
26,13498.441845436919,17684.069470037113
27,13021.007479139253,17380.456161982376
28,12686.04645008587,17270.634288326826
29,12628.33429599286,17204.252319697396
30,12916.34795843572,17368.32859455413
31,13287.347678720269,17415.22825369783
32,13827.770458928273,17718.160361753355
33,14093.865993740044,17761.010579809234
34,14301.882800451292,17749.636222583238
35,14591.644046821746,18043.86009794084
36,14678.319235923394,18239.049791670113
37,14781.091548845467,18599.997789667876
38,14860.780955712395,18932.68988321094
39,14791.089704154241,19102.060682893178
40,14652.028480050205,19251.55656926476
41,14589.016552902272,19456.7960058405
42,14481.800755384338,19595.711166869434
43,14310.60026270837,19615.149332183446
44,14782.40689283242,20172.78358486752
45,15124.844891376844,20367.99252418066
46,15458.318435252579,20623.503396183394
47,15769.454022846092,20881.24357561244
48,16212.181939745955,21228.80310488434
49,16136.7812747975,21139.544093904584
50,16277.872318652562,21292.374111805017
51,16607.49587678634,21581.199100627146
52,16879.128935193916,21854.311998126454
53,16779.464648151115,21733.459800537912
54,16959.58871254862,21839.55204356076
55,17212.568237565545,22070.717947334593
56,17221.321741067517,22100.768392947382
57,17313.883130687555,22264.33488058888
58,17827.527676506576,22798.394170927397
59,18606.90261283566,23741.101879123184
60,19100.88517725792,24378.65140560129
61,18656.076827274483,24096.634972717195
62,18868.1582129393,24285.34810600411
63,19646.656346712065,24883.00691007897
64,20015.221960378723,25107.978791317004
65,19628.803085912885,24503.15445724186
66,20071.486950335307,24887.923970720018
67,20183.526255301083,24855.946224952666
68,20097.5600733939,24725.709367299456
69,19775.263439445527,24573.395117944547
70,19705.380065098492,24680.25500698526
71,19594.23586311498,24731.15783923569
72,19354.439616791857,24771.22311798218
73,19050.297152641688,24719.40686575621
74,19117.716006439598,24840.710673337035
75,19177.874003030855,24939.03983119204
76,19213.919136688113,25016.74130659328
77,19418.69294693025,25112.167158504144
78,19767.226188156947,25337.913709206543
79,19923.805243139774,25270.136500363526
80,20266.1058842415,25237.38901787012
81,20282.076026280454,24902.36498013669
82,20460.572900258845,24661.44760493322
83,20638.255134938558,24520.829629407857
84,21041.48087694041,24678.1382581564
85,20923.95679980394,24550.45969612505
86,20912.56485142699,24621.33058149047
87,20885.824813429786,24754.647648990558
88,21107.220976763085,25179.714708350813
89,21174.470127223012,25446.79976816949
90,21293.97080197174,25763.052048471436
91,21279.307635417998,25895.737707833552
92,21479.754034205504,26020.80093053841
93,21504.779459960868,25979.833020018556
94,21511.621292919597,25874.128261750357
95,21506.621221816156,25753.61206644524
96,21747.292208849824,25914.11521620583
