step,mae_chronos,rmse_chronos
1,1772.12799817469,2257.8582609010687
2,2119.7209286794955,3426.5083792296837
3,2780.5097021142988,5165.439476630448
4,3470.45231957067,6715.928956938341
5,4196.136866852236,7873.739706700971
6,5132.201506901011,8906.763981374572
7,5910.295565603041,9797.59472271586
8,6398.046403745847,10280.302576328153
9,6792.280709094999,10571.051696637993
10,7102.593342665421,10644.421967883405
11,7631.2221159547635,11294.306606319953
12,8044.672783750413,11982.632839556845
13,8387.742799442341,12545.343048721123
14,8626.272099596217,13053.439944438625
15,8916.80280989661,13621.1400809017
16,9241.878664995094,14296.672668977673
17,9423.30031447066,14630.77401073901
18,9602.910398619857,14995.240064446054
19,9837.052644907742,15273.870648494332
20,10004.395391907383,15605.72951590476
21,10040.954730192867,15575.413253721288
22,10116.43934932231,15648.394641660961
23,10305.132729997433,15894.070710606446
24,10308.650437523918,15779.40743818024
25,10304.639186092074,15863.153193787686
26,10245.448337139353,15917.019368155141
27,10032.051834483209,15703.724253908382
28,9861.271974283269,15604.18842524845
29,9838.939288837753,15819.205019640376
30,9872.860481145177,16124.03666297537
31,9694.453229714682,16001.552707263329
32,9522.314665770402,15920.770376729524
33,9523.652071588951,16058.382763582165
34,9405.482174681732,15942.254935183273
35,9409.925745354105,15970.307392335415
36,9452.692274910836,16086.294204080505
37,9494.393830563187,16023.29733186054
38,9524.656846033404,15875.907476573082
39,9779.610580630228,16164.254424919922
40,9892.638703736568,16257.911572253506
41,9630.617196625164,16026.75754418567
42,9572.466620685567,16088.220387367015
43,9799.982800866002,16372.691467152152
44,10004.664561582082,16624.530904417767
45,10253.379856541987,17030.919201079618
46,10344.195789757288,17203.601219839897
47,10443.443369871558,17261.77829739552
48,10576.126233350897,17590.33272043924
49,10677.786379606021,17777.317739128743
50,10539.569096828136,17591.77927874531
51,10675.209782148544,17649.813443020023
52,10901.412366804072,17886.2214238224
53,11173.964698689433,18053.717811788123
54,11380.790975446826,18035.790580194014
55,11530.79812061574,18089.307992944734
56,11641.938360757382,17962.909503769126
57,11791.645161281846,18077.525234931676
58,11719.088598042248,17887.184195306185
59,11731.119124598446,17791.37695288381
60,11713.628494916236,17817.03247958926
61,11693.822919207652,17919.00244549277
62,11821.35189588896,18096.301681365654
63,12265.782265438404,18676.389221042187
64,12452.20938659802,18689.727716911057
65,12790.48209723101,19380.854874418892
66,12729.998775391721,19451.0503478543
67,12867.21237933003,19561.830328498138
68,13078.04608947562,19765.57162471503
69,13221.71839119771,19805.40020503664
70,13391.70285626494,19873.178163423094
71,13640.429441191596,20030.49286743594
72,13663.015981029226,19844.923230229077
73,13509.85555745369,19361.747533460566
74,13504.962463578464,19110.770128236058
75,13695.512796634588,19179.171472255748
76,13664.129970138669,18938.449105925498
77,13579.831819142268,18681.743475839357
78,13714.46228153227,18800.207001352785
79,13687.381016908821,18630.208747802397
80,13754.191633519371,18821.72064690683
81,13849.312275693796,18982.156768862806
82,13873.44446891834,18950.05614618094
83,13927.929284890723,18982.567999042996
84,14261.113722465452,19432.22259849477
85,14515.829144758245,19759.292334965216
86,14724.528050829258,20132.201435809886
87,14932.713477518835,20565.96144011427
88,14950.438517610475,20681.643706098843
89,15018.087873280587,20893.081888987712
90,14913.889565720454,20941.151480408775
91,14881.999568584142,20995.58996910095
92,14779.816541665465,21021.866141832554
93,14815.240794242782,21072.05167288056
94,14817.020021046905,21110.021387392608
95,14730.532363018567,20943.667604180748
96,14706.356273766009,20881.84639716021
