step,mae_chronos,rmse_chronos
1,4976.192611977793,5803.2321577730245
2,8343.851224303802,12488.888267623734
3,12886.515560604957,22845.80847119149
4,17673.484255544034,32775.8515886056
5,21875.61059142864,40862.52535261099
6,25966.89476246895,48055.65250125993
7,30366.15246162547,55332.82549188215
8,34490.72562016968,62271.33252697664
9,38201.100827188326,67647.22738188464
10,42163.03024706647,73542.37086977532
11,45835.542051712226,78505.76035881776
12,49259.57332120468,83350.53157107669
13,52898.12458902305,87886.49848332097
14,56062.90376157242,91981.37755802333
15,58459.955616011655,95029.25702620627
16,60521.0690678532,97463.37492709016
17,61569.20311329039,98115.89758324044
18,62139.96670326227,98435.68826737926
19,63090.2277237767,98961.08441334109
20,63872.79138445564,99484.92898597302
21,64354.63544971303,99300.17254262102
22,64150.5974127512,98602.2424106133
23,64073.62377815784,98596.3435706974
24,64459.879441960824,98507.91750390633
25,64842.48517690477,97900.36471041855
26,64897.85428218437,97781.83733968076
27,64998.32052353255,98051.42523366403
28,65678.56999890484,98724.87920737683
29,66412.41418905376,99426.681769067
30,67306.92793074907,101469.58646318805
31,68658.68529157378,103523.23481426718
32,70698.75666442602,105728.68733604904
33,71746.77904102652,107365.33800438358
34,73398.20682114613,109002.8217032797
35,75607.14858549464,111591.04814234645
36,77912.45759180398,114122.4165772378
37,80104.10867953407,116206.03586103594
38,82253.87282723097,118550.85202206767
39,84250.60006688928,120889.75940850216
40,87010.8647735203,123857.78432737976
41,90222.26672617978,126399.10098451789
42,93396.41838149582,128773.83627052994
43,96375.55213532277,131444.49132339808
44,97953.6394515781,133055.0193107813
45,99537.74616968703,134579.57876074425
46,101293.19960689414,135953.2724907376
47,102816.49955748252,137219.05716925958
48,103773.08048536965,137682.2683266963
49,104538.81797941527,137608.0996041838
50,105075.27789273822,137575.5977870364
51,105782.51069581648,138023.5872961499
52,106293.78697627898,138590.8449907973
53,106255.2023716721,138391.39335054433
54,107240.15893009547,139056.97756936302
55,108124.26845419843,139263.66572879392
56,108917.39978263744,139609.89740320607
57,107843.77860489512,138394.91214314988
58,108031.42239683513,137931.51974738747
59,108407.2832438434,137429.0569392907
60,108255.60810242925,136696.02826743442
61,108477.90068505969,136773.6712867909
62,108645.62782928547,136930.55801090258
63,108279.53133470041,136206.18923195943
64,108258.65200542833,135988.1874395964
65,106641.97333975093,134326.5644849962
66,105327.79571603959,133458.244488838
67,104333.33495716217,132387.57780204157
68,103511.2583907246,131411.41902845024
69,102070.47049095368,129898.57057119436
70,101604.6664915264,129394.1377956742
71,101597.0376112286,128727.56905463587
72,101516.08249381738,128148.8673401872
73,101053.94810492847,126895.25087906154
74,100915.03807400064,126230.51097053391
75,100587.5531581931,125294.74251175311
76,100068.9382876318,124521.77863296185
77,98807.03273952183,123255.10156214781
78,97110.31072863983,121827.5768597053
79,95032.27747548977,119891.61773779902
80,93058.92108660088,118124.71088374028
81,91437.37281397772,115714.28696356877
82,89672.33345424637,113517.49207655655
83,87815.19882355806,111330.54195233907
84,86232.4784548712,109178.29044700204
85,84618.72585740165,106759.85163235413
86,83524.70069667004,104998.17498384038
87,82155.29793141352,103554.73851465045
88,79876.63126651714,101241.13263104745
89,77607.29172415912,98873.07817273328
90,74921.5414451335,96192.76174966652
91,72415.53943371025,93902.66772260639
92,70362.35164396862,91971.40564512715
93,68215.91061625705,89340.40300474106
94,65027.994460651746,86328.74642424723
95,62351.51732227485,83870.72714639067
96,60002.17093548023,81254.54540315736
