start_time,target_1,target_2,target_3,target_4,target_5,target_6,target_7,target_8,target_9,target_10,target_11,target_12,target_13,target_14,target_15,target_16,target_17,target_18,target_19,target_20,target_21,target_22,target_23,target_24,target_25,target_26,target_27,target_28,target_29,target_30,target_31,target_32,target_33,target_34,target_35,target_36,target_37,target_38,target_39,target_40,target_41,target_42,target_43,target_44,target_45,target_46,target_47,target_48,target_49,target_50,target_51,target_52,target_53,target_54,target_55,target_56,target_57,target_58,target_59,target_60,target_61,target_62,target_63,target_64,target_65,target_66,target_67,target_68,target_69,target_70,target_71,target_72,target_73,target_74,target_75,target_76,target_77,target_78,target_79,target_80,target_81,target_82,target_83,target_84,target_85,target_86,target_87,target_88,target_89,target_90,target_91,target_92,target_93,target_94,target_95,target_96
2025-01-01 00:15:00+00:00,34495.59403915536,33082.25960452292,31288.622415653983,29400.933711892572,27392.346236693546,25564.7578871253,23984.6953552868,22756.711838746243,21675.878118100958,21192.028662611705,20918.771498981867,20699.01423136837,20561.51454596783,20580.345298915076,20455.3828430384,20385.247921339484,20423.766900811213,20422.505476236707,20399.780858485567,20227.343682652325,20093.06221788576,19894.35137725906,19799.496098802396,19514.44554234864,19317.22205500208,19055.813808837403,18902.51185519264,18754.065723932683,18694.7443086064,18857.21066826453,19038.88670704174,19452.13820319358,19887.222730450332,20243.926628569097,20956.809281596023,21537.83785360847,22269.1399810745,22688.62981796234,23673.1094660843,23673.1094660843,23673.1094660843,23673.1094660843,24480.648501446347,24480.648501446347,24480.648501446347,24480.648501446347,28890.604450450148,28890.604450450148,28890.604450450148,28890.604450450148,42660.67311018925,42660.67311018925,42660.67311018925,42660.67311018925,44162.76601927705,44162.76601927705,44162.76601927705,44162.76601927705,45033.680620968094,45033.680620968094,45033.680620968094,45033.680620968094,47636.906093876096,47636.906093876096,47636.906093876096,47636.906093876096,54740.736027349296,54740.736027349296,54740.736027349296,54740.736027349296,61771.462065730244,61771.462065730244,61771.462065730244,61771.462065730244,58585.0079323602,58585.0079323602,58585.0079323602,58585.0079323602,56035.037790479095,56035.037790479095,56035.037790479095,56035.037790479095,44517.83825999925,44517.83825999925,44517.83825999925,44517.83825999925,23443.9613903014,23443.9613903014,23443.9613903014,23443.9613903014,20155.267851208002,20155.267851208002,20155.267851208002,20155.267851208002,22012.178007847302,22012.178007847302
2025-01-01 00:30:00+00:00,33337.34587763587,31498.72097356277,29528.410812335074,27660.54840337051,25775.689920071232,24142.666117333243,22893.993909249693,22029.357797649947,21285.23818427655,21048.05268088275,20995.218310157543,20757.592160190692,20625.084495491647,20661.949468867355,20539.380752948848,20462.73325300775,20492.00715209416,20461.249763909247,20417.19542063552,20239.471498857296,20050.85316678849,19798.840002473942,19646.491576931498,19333.43214606753,19160.57684813814,18974.055414773855,18879.627088282512,18806.585239743552,18864.86361079278,19099.504649326365,19404.431589314405,19874.68070555233,20383.80646244384,20772.351791398498,21511.98529407601,22110.121391943176,22799.603400076932,23673.1094660843,23673.1094660843,23673.1094660843,23673.1094660843,24480.648501446347,24480.648501446347,24480.648501446347,24480.648501446347,28890.604450450148,28890.604450450148,28890.604450450148,28890.604450450148,42660.67311018925,42660.67311018925,42660.67311018925,42660.67311018925,44162.76601927705,44162.76601927705,44162.76601927705,44162.76601927705,45033.680620968094,45033.680620968094,45033.680620968094,45033.680620968094,47636.906093876096,47636.906093876096,47636.906093876096,47636.906093876096,54740.736027349296,54740.736027349296,54740.736027349296,54740.736027349296,61771.462065730244,61771.462065730244,61771.462065730244,61771.462065730244,58585.0079323602,58585.0079323602,58585.0079323602,58585.0079323602,56035.037790479095,56035.037790479095,56035.037790479095,56035.037790479095,44517.83825999925,44517.83825999925,44517.83825999925,44517.83825999925,23443.9613903014,23443.9613903014,23443.9613903014,23443.9613903014,20155.267851208002,20155.267851208002,20155.267851208002,20155.267851208002,22012.178007847302,22012.178007847302,22012.178007847302
2025-01-01 00:45:00+00:00,31627.667874680217,29613.86144089968,27679.16647633555,25933.291687963174,24260.01093321386,22956.384484910996,22071.988480621614,21548.765678978965,21057.183634892306,21040.61994559236,20975.04118508014,20749.711871310425,20639.78456469585,20686.977996860463,20562.313364541184,20483.388158034726,20483.700385944594,20437.124750676674,20392.649779574203,20167.56357406781,19925.544718438272,19619.573960958187,19440.417646422735,19156.093579153552,19059.97633765182,18932.8569989171,18920.59268990747,18969.382952816482,19100.028244006236,19454.592284061364,19826.041022242825,20375.86645690327,20908.28856915992,21328.802351550446,22088.28980793929,22638.30309350726,23673.1094660843,23673.1094660843,23673.1094660843,23673.1094660843,24480.648501446347,24480.648501446347,24480.648501446347,24480.648501446347,28890.604450450148,28890.604450450148,28890.604450450148,28890.604450450148,42660.67311018925,42660.67311018925,42660.67311018925,42660.67311018925,44162.76601927705,44162.76601927705,44162.76601927705,44162.76601927705,45033.680620968094,45033.680620968094,45033.680620968094,45033.680620968094,47636.906093876096,47636.906093876096,47636.906093876096,47636.906093876096,54740.736027349296,54740.736027349296,54740.736027349296,54740.736027349296,61771.462065730244,61771.462065730244,61771.462065730244,61771.462065730244,58585.0079323602,58585.0079323602,58585.0079323602,58585.0079323602,56035.037790479095,56035.037790479095,56035.037790479095,56035.037790479095,44517.83825999925,44517.83825999925,44517.83825999925,44517.83825999925,23443.9613903014,23443.9613903014,23443.9613903014,23443.9613903014,20155.267851208002,20155.267851208002,20155.267851208002,20155.267851208002,22012.178007847302,22012.178007847302,22012.178007847302,22012.178007847302
2025-01-01 01:00:00+00:00,29632.237017267318,27640.381703266874,25848.09514368124,24299.240301069236,22961.724826237274,22016.765023235173,21468.20913713084,21197.523900203814,20928.133127034092,20893.121063423805,20844.008401028896,20640.56351020331,20548.245320920912,20602.00044504643,20479.97434592276,20377.987067714483,20364.63734864792,20325.26979761409,20238.34697472963,19968.480667916643,19668.437413038842,19336.04275561517,19187.653442910778,18987.76372918571,18947.184226170342,18903.057339251307,19025.533568910843,19156.470187824863,19404.44872747033,19824.452524555196,20286.227069094908,20874.877370885326,21434.85955676446,21891.658022457843,22607.528755955118,23673.1094660843,23673.1094660843,23673.1094660843,23673.1094660843,24480.648501446347,24480.648501446347,24480.648501446347,24480.648501446347,28890.604450450148,28890.604450450148,28890.604450450148,28890.604450450148,42660.67311018925,42660.67311018925,42660.67311018925,42660.67311018925,44162.76601927705,44162.76601927705,44162.76601927705,44162.76601927705,45033.680620968094,45033.680620968094,45033.680620968094,45033.680620968094,47636.906093876096,47636.906093876096,47636.906093876096,47636.906093876096,54740.736027349296,54740.736027349296,54740.736027349296,54740.736027349296,61771.462065730244,61771.462065730244,61771.462065730244,61771.462065730244,58585.0079323602,58585.0079323602,58585.0079323602,58585.0079323602,56035.037790479095,56035.037790479095,56035.037790479095,56035.037790479095,44517.83825999925,44517.83825999925,44517.83825999925,44517.83825999925,23443.9613903014,23443.9613903014,23443.9613903014,23443.9613903014,20155.267851208002,20155.267851208002,20155.267851208002,20155.267851208002,22012.178007847302,22012.178007847302,22012.178007847302,22012.178007847302,23504.19274669725
2025-01-01 01:15:00+00:00,27422.60439500466,25567.666344642923,24018.84100577679,22799.904949721094,21841.311455105115,21255.183783426783,20971.64409608664,20938.704643503483,20684.009475489896,20666.391954662016,20651.826334876143,20473.173836418784,20398.721583400333,20467.485973490042,20332.846421078957,20223.358426088038,20219.187940997675,20148.947662842038,20019.632126608052,19708.05675782429,19388.08082085423,19091.63290553659,19025.240782069974,18896.543835670163,18944.71930459381,19026.089413529873,19233.329944291472,19487.49793552287,19797.03464531674,20302.23429198863,20806.520200377337,21425.996615429853,22005.57211327896,22427.878313999558,23673.1094660843,23673.1094660843,23673.1094660843,23673.1094660843,24480.648501446347,24480.648501446347,24480.648501446347,24480.648501446347,28890.604450450148,28890.604450450148,28890.604450450148,28890.604450450148,42660.67311018925,42660.67311018925,42660.67311018925,42660.67311018925,44162.76601927705,44162.76601927705,44162.76601927705,44162.76601927705,45033.680620968094,45033.680620968094,45033.680620968094,45033.680620968094,47636.906093876096,47636.906093876096,47636.906093876096,47636.906093876096,54740.736027349296,54740.736027349296,54740.736027349296,54740.736027349296,61771.462065730244,61771.462065730244,61771.462065730244,61771.462065730244,58585.0079323602,58585.0079323602,58585.0079323602,58585.0079323602,56035.037790479095,56035.037790479095,56035.037790479095,56035.037790479095,44517.83825999925,44517.83825999925,44517.83825999925,44517.83825999925,23443.9613903014,23443.9613903014,23443.9613903014,23443.9613903014,20155.267851208002,20155.267851208002,20155.267851208002,20155.267851208002,22012.178007847302,22012.178007847302,22012.178007847302,22012.178007847302,23504.19274669725,23504.19274669725
2025-01-01 01:30:00+00:00,25110.953466895684,23488.48318543996,22321.65584014156,21462.478840949403,20870.50657732928,20571.766344397493,20535.396742446144,20521.860388111505,20319.963216113272,20336.594665462908,20354.07161000707,20200.00541085309,20154.687489430285,20220.68454209328,20090.329945519054,19997.472739449277,19961.80605211885,19867.685187631352,19693.99074061207,19375.178231965663,19093.691878289224,18888.492239422587,18889.94726619946,18858.68015785891,19043.87897342477,19203.63063502933,19545.820822326834,19866.507245963843,20262.818304140383,20809.926386799558,21355.133467566146,21998.766620760493,22531.761040400906,23673.1094660843,23673.1094660843,23673.1094660843,23673.1094660843,24480.648501446347,24480.648501446347,24480.648501446347,24480.648501446347,28890.604450450148,28890.604450450148,28890.604450450148,28890.604450450148,42660.67311018925,42660.67311018925,42660.67311018925,42660.67311018925,44162.76601927705,44162.76601927705,44162.76601927705,44162.76601927705,45033.680620968094,45033.680620968094,45033.680620968094,45033.680620968094,47636.906093876096,47636.906093876096,47636.906093876096,47636.906093876096,54740.736027349296,54740.736027349296,54740.736027349296,54740.736027349296,61771.462065730244,61771.462065730244,61771.462065730244,61771.462065730244,58585.0079323602,58585.0079323602,58585.0079323602,58585.0079323602,56035.037790479095,56035.037790479095,56035.037790479095,56035.037790479095,44517.83825999925,44517.83825999925,44517.83825999925,44517.83825999925,23443.9613903014,23443.9613903014,23443.9613903014,23443.9613903014,20155.267851208002,20155.267851208002,20155.267851208002,20155.267851208002,22012.178007847302,22012.178007847302,22012.178007847302,22012.178007847302,23504.19274669725,23504.19274669725,23504.19274669725
2025-01-01 01:45:00+00:00,22906.823344492746,21641.826293684928,20878.50427813053,20360.910145467773,20052.525317660966,20019.198679065525,20011.380535648765,20046.580881403897,19910.653537982285,19953.87211955644,19998.559251945157,19873.97887209669,19836.652750705198,19912.421129193106,19808.143349432194,19687.872063039205,19622.27229502326,19503.820008189967,19314.526198496835,19043.724722775027,18853.616471287245,18726.07724444631,18816.901805749334,18928.104307593905,19203.17329237144,19482.86958761715,19901.413249348072,20307.60329420716,20747.142299339164,21335.748802951894,21914.67039635303,22517.61588968459,23673.1094660843,23673.1094660843,23673.1094660843,23673.1094660843,24480.648501446347,24480.648501446347,24480.648501446347,24480.648501446347,28890.604450450148,28890.604450450148,28890.604450450148,28890.604450450148,42660.67311018925,42660.67311018925,42660.67311018925,42660.67311018925,44162.76601927705,44162.76601927705,44162.76601927705,44162.76601927705,45033.680620968094,45033.680620968094,45033.680620968094,45033.680620968094,47636.906093876096,47636.906093876096,47636.906093876096,47636.906093876096,54740.736027349296,54740.736027349296,54740.736027349296,54740.736027349296,61771.462065730244,61771.462065730244,61771.462065730244,61771.462065730244,58585.0079323602,58585.0079323602,58585.0079323602,58585.0079323602,56035.037790479095,56035.037790479095,56035.037790479095,56035.037790479095,44517.83825999925,44517.83825999925,44517.83825999925,44517.83825999925,23443.9613903014,23443.9613903014,23443.9613903014,23443.9613903014,20155.267851208002,20155.267851208002,20155.267851208002,20155.267851208002,22012.178007847302,22012.178007847302,22012.178007847302,22012.178007847302,23504.19274669725,23504.19274669725,23504.19274669725,23504.19274669725
2025-01-01 02:00:00+00:00,20917.365740494693,20032.199508834106,19647.871758183748,19393.606399475706,19341.623906680084,19356.793882641203,19396.893628885886,19490.24850878597,19402.395473550063,19463.417000748796,19540.90845247929,19422.006991996815,19405.340127821175,19514.003048848015,19391.036731421573,19244.64058122079,19152.255816538804,19038.8657161546,18890.9756796995,18720.446905911173,18603.3676011403,18571.39083995476,18798.68209819839,19006.463132468703,19411.26440793931,19750.23156192008,20273.816705252524,20726.247918963247,21209.905817891115,21840.56104255974,22392.113698869714,23673.1094660843,23673.1094660843,23673.1094660843,23673.1094660843,24480.648501446347,24480.648501446347,24480.648501446347,24480.648501446347,28890.604450450148,28890.604450450148,28890.604450450148,28890.604450450148,42660.67311018925,42660.67311018925,42660.67311018925,42660.67311018925,44162.76601927705,44162.76601927705,44162.76601927705,44162.76601927705,45033.680620968094,45033.680620968094,45033.680620968094,45033.680620968094,47636.906093876096,47636.906093876096,47636.906093876096,47636.906093876096,54740.736027349296,54740.736027349296,54740.736027349296,54740.736027349296,61771.462065730244,61771.462065730244,61771.462065730244,61771.462065730244,58585.0079323602,58585.0079323602,58585.0079323602,58585.0079323602,56035.037790479095,56035.037790479095,56035.037790479095,56035.037790479095,44517.83825999925,44517.83825999925,44517.83825999925,44517.83825999925,23443.9613903014,23443.9613903014,23443.9613903014,23443.9613903014,20155.267851208002,20155.267851208002,20155.267851208002,20155.267851208002,22012.178007847302,22012.178007847302,22012.178007847302,22012.178007847302,23504.19274669725,23504.19274669725,23504.19274669725,23504.19274669725,23548.02242796105
2025-01-01 02:15:00+00:00,19461.34073287155,18927.093919923274,18831.440982355256,18806.598937413153,18795.17767952542,18876.24299233751,18968.017880814696,19100.10747612578,19049.494652766563,19127.85958151805,19207.406017626236,19100.051658801447,19113.68469347656,19200.175130505824,19051.457689757426,18870.35734759448,18770.21579754155,18709.007676649486,18643.839102116326,18554.720268373465,18533.372939933746,18640.711252361314,18949.51246810497,19290.12889051355,19765.78157273987,20180.25124468598,20748.272640441464,21237.431124640272,21755.44332328713,22354.044586892607,23673.1094660843,23673.1094660843,23673.1094660843,23673.1094660843,24480.648501446347,24480.648501446347,24480.648501446347,24480.648501446347,28890.604450450148,28890.604450450148,28890.604450450148,28890.604450450148,42660.67311018925,42660.67311018925,42660.67311018925,42660.67311018925,44162.76601927705,44162.76601927705,44162.76601927705,44162.76601927705,45033.680620968094,45033.680620968094,45033.680620968094,45033.680620968094,47636.906093876096,47636.906093876096,47636.906093876096,47636.906093876096,54740.736027349296,54740.736027349296,54740.736027349296,54740.736027349296,61771.462065730244,61771.462065730244,61771.462065730244,61771.462065730244,58585.0079323602,58585.0079323602,58585.0079323602,58585.0079323602,56035.037790479095,56035.037790479095,56035.037790479095,56035.037790479095,44517.83825999925,44517.83825999925,44517.83825999925,44517.83825999925,23443.9613903014,23443.9613903014,23443.9613903014,23443.9613903014,20155.267851208002,20155.267851208002,20155.267851208002,20155.267851208002,22012.178007847302,22012.178007847302,22012.178007847302,22012.178007847302,23504.19274669725,23504.19274669725,23504.19274669725,23504.19274669725,23548.02242796105,23548.02242796105
2025-01-01 02:30:00+00:00,18479.403221659522,18204.685183663,18351.90431134044,18351.008117178502,18391.96358366044,18535.93099286601,18656.83584402281,18809.97136580537,18787.331994444416,18857.193938844248,18938.95039849048,18853.845588101678,18847.42217466486,18903.209996030102,18722.334585495697,18527.926042330906,18469.905060840327,18502.782984394296,18501.302292195207,18509.776716747896,18625.38160694185,18816.7623778025,19248.77598234725,19656.975116753856,20223.465768971757,20662.339813743478,21268.259893034927,21786.566663281115,22269.08626241836,23673.1094660843,23673.1094660843,23673.1094660843,23673.1094660843,24480.648501446347,24480.648501446347,24480.648501446347,24480.648501446347,28890.604450450148,28890.604450450148,28890.604450450148,28890.604450450148,42660.67311018925,42660.67311018925,42660.67311018925,42660.67311018925,44162.76601927705,44162.76601927705,44162.76601927705,44162.76601927705,45033.680620968094,45033.680620968094,45033.680620968094,45033.680620968094,47636.906093876096,47636.906093876096,47636.906093876096,47636.906093876096,54740.736027349296,54740.736027349296,54740.736027349296,54740.736027349296,61771.462065730244,61771.462065730244,61771.462065730244,61771.462065730244,58585.0079323602,58585.0079323602,58585.0079323602,58585.0079323602,56035.037790479095,56035.037790479095,56035.037790479095,56035.037790479095,44517.83825999925,44517.83825999925,44517.83825999925,44517.83825999925,23443.9613903014,23443.9613903014,23443.9613903014,23443.9613903014,20155.267851208002,20155.267851208002,20155.267851208002,20155.267851208002,22012.178007847302,22012.178007847302,22012.178007847302,22012.178007847302,23504.19274669725,23504.19274669725,23504.19274669725,23504.19274669725,23548.02242796105,23548.02242796105,23548.02242796105
