step,mae_chronos,rmse_chronos
1,5240.476732802248,7139.769214806546
2,9314.727927000873,16144.95885706698
3,14606.382279651089,27168.67747624972
4,19790.059929708346,36756.10042800379
5,24580.489631936813,44432.017995543
6,29210.519042902135,51524.22291784384
7,33892.67903405076,58711.61952439337
8,38932.47077470472,65955.05875795563
9,42794.17634848374,71322.79721814774
10,47366.11769119851,77395.4590837645
11,51118.41193029182,82660.83439253877
12,54395.053071491064,87290.03604317423
13,58091.62329349039,91476.31479291545
14,61593.6635507124,95586.08624970746
15,64233.696842723206,98910.99200719649
16,66079.23964145865,100824.15516688979
17,67059.94820465073,101645.84667647094
18,68068.28665611264,102761.10258710544
19,69334.22522645527,104110.59252874288
20,70661.71814390582,105029.98019176933
21,70294.89276090052,104355.48385181467
22,70562.64328151906,104053.4365801076
23,70934.0084753821,104169.8950583381
24,70440.33410138439,103476.58050490363
25,69579.14943279703,102477.09587373467
26,69833.49829877641,102428.58967247012
27,70134.81697519698,102748.88086764973
28,71272.9806047161,103627.00782850501
29,72376.95264812846,104694.17244441027
30,73463.89722242522,106585.43342379825
31,74623.84507132428,108599.93553809963
32,76935.31187585118,110941.27243122591
33,78716.73764631528,112982.19752989881
34,80541.37837011629,114926.12638909595
35,82704.40971043818,117702.68269472333
36,85245.99585208953,120844.5445971994
37,87775.93046110058,123243.458816238
38,90694.1857902917,126069.55817829032
39,93341.26283581567,128517.71220596367
40,96432.1124918722,131134.99736820866
41,99158.01305222373,133372.7994609738
42,102116.35171420436,135896.23628229948
43,104810.10832993074,138115.76163738032
44,107369.8953502556,140259.18628237033
45,108872.00194913094,141335.94746233596
46,110253.80294939129,142371.29838764595
47,111091.88854694623,142807.7880965748
48,111610.40926736075,142696.76940425366
49,111551.05968795439,141986.09707138577
50,111189.92878555729,141627.37968881446
51,111290.90238984351,141376.2642148702
52,111540.34327060996,141093.85422142947
53,111696.24335445256,140809.5003149183
54,112525.5668154543,141278.67006636463
55,113028.3203968685,141025.83693836795
56,113649.76921900742,141077.3188391149
57,113175.73323946976,140365.3854531882
58,113202.91417803064,140147.2931559655
59,112970.21774441612,139320.6817075725
60,112947.383299451,138814.36169072342
61,112775.86082022576,138607.74568414356
62,112854.6796082087,138647.56070587956
63,113285.88063939687,138336.49831593837
64,114237.71322306865,138612.3289284717
65,114399.01179679562,139080.98214966772
66,113088.17305166386,138149.21137089867
67,111386.94023551265,136560.76794630082
68,109672.06000813581,135234.55446355234
69,108057.28343826182,133956.08303254357
70,107421.06135406934,133404.03096451095
71,107185.34933516904,132977.89808196214
72,106465.19238041529,132088.6275015124
73,105559.96809805561,130580.02348101966
74,104697.86055166388,129353.89164757037
75,103703.55922463066,128313.07258440746
76,102821.36165303845,127310.02572351471
77,101252.59813585633,125542.14329455151
78,99508.62602302698,123909.73294836975
79,97437.96866105676,121951.29249479302
80,95878.8718300144,120207.09238489112
81,94249.46886552413,118006.82334026523
82,92026.00604656134,115623.88971840305
83,89750.79590624056,113317.05757061341
84,87307.60769542103,110638.42008646736
85,85470.59771682059,107946.235439298
86,83890.18693201318,105921.77362168877
87,82046.84134565908,104043.52085379108
88,79617.77713249535,101324.48186583452
89,76987.16328200445,98380.84545461557
90,74646.81882813529,95804.30114083293
91,71815.07184284973,93125.56027600169
92,69978.27783109415,91197.94364589536
93,68109.73387294769,88936.01476626509
94,65632.27639796303,86326.20565927868
95,63318.65986470952,83754.71480470042
96,61229.720291514794,81445.22757732445
